HandID,Board,Winner,WinType,Pot,human_Hole,bot_Hole,human_Bucket,bot_Bucket,human_Action,bot_Action,human_Delta,bot_Delta,PlayerCategory,BluffDetected
1,8♠9♥5♦3♠4♠,h_bot,showdown,40,2♥T♠,2♠J♠,T2o,J2s,call,,-20,20,,No
2,T♦J♠7♣8♥2♦,human,showdown,40,2♥Q♦,K♦Q♣,Q2o,KQo,call,,0,0,,No
3,4♥Q♦5♦2♥2♣,h_bot,showdown,40,5♣J♣,2♠3♠,J5s,32s,call,,-20,20,,No
4,7♥4♠2♠9♣A♥,human,showdown,40,5♦T♥,8♥3♦,T5o,83o,call,,0,0,,No
5,A♠K♣9♣8♠9♦,h_bot,showdown,40,2♦7♠,T♣5♦,72o,T5o,check,,-20,20,Passive,No
6,3♣K♥4♥Q♣7♠,h_bot,showdown,40,4♠9♥,5♣7♥,94o,75o,call,,-40,40,Aggressive,No
7,9♥5♣4♠T♠2♦,human,showdown,40,T♥9♠,K♦A♥,T9o,AKo,call,,-20,20,Aggressive,Yes
8,6♥T♣K♠9♠5♥,h_bot,showdown,40,J♥8♠,K♣T♥,J8o,KTo,call,,-40,40,Aggressive,No
9,J♠Q♦5♦Q♣6♥,human,showdown,40,T♥6♠,A♥T♣,T6o,ATo,call,,-20,20,Aggressive,No
10,3♥A♥2♥K♦2♦,h_bot,showdown,40,K♥5♦,2♣6♣,K5o,62s,call,,-40,40,Aggressive,No
11,A♣3♦2♣5♠Q♥,h_bot,showdown,40,2♦6♣,4♣K♣,62o,K4s,call,,-60,60,Aggressive,No
